               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.023117,            0.017026,            0.002572,             0.65288,             0.77186,             0.72609,             0.49871,            0.028551,             0.01436,            0.009695,            0.005446,            0.005446,            0.005446
                  48,            0.022962,            0.016881,           0.0025162,             0.67356,             0.69501,             0.71614,             0.48484,            0.028378,            0.014555,           0.0087814,            0.005347,            0.005347,            0.005347
                  49,            0.022818,            0.017324,           0.0021065,             0.73964,             0.69013,             0.71378,             0.46947,            0.029531,            0.014549,             0.01105,            0.005248,            0.005248,            0.005248
                  50,            0.022451,            0.016955,           0.0024728,             0.66865,             0.74057,             0.73061,             0.51845,             0.02861,            0.014747,           0.0090007,            0.005149,            0.005149,            0.005149
                  51,             0.02259,            0.016622,           0.0022646,             0.64695,             0.74053,             0.69381,             0.49218,            0.028456,            0.014523,           0.0089253,             0.00505,             0.00505,             0.00505
                  52,            0.022392,            0.016692,            0.002389,              0.7519,             0.69679,              0.7511,             0.53881,            0.028647,             0.01449,           0.0066363,            0.004951,            0.004951,            0.004951
                  53,            0.022626,            0.016448,           0.0020579,             0.73666,             0.62912,             0.68877,              0.4948,              0.0283,            0.014901,           0.0088835,            0.004852,            0.004852,            0.004852
                  54,            0.022291,            0.017325,             0.00214,             0.90291,             0.59042,             0.69163,             0.49546,            0.028674,            0.014727,            0.010556,            0.004753,            0.004753,            0.004753
                  55,            0.021288,             0.01629,           0.0021886,             0.68661,             0.66526,             0.71244,             0.50504,            0.028289,            0.014472,           0.0098629,            0.004654,            0.004654,            0.004654
                  56,            0.021501,             0.01654,           0.0021145,             0.80882,             0.57557,             0.69055,             0.50362,            0.029086,            0.014005,            0.012757,            0.004555,            0.004555,            0.004555
                  57,            0.021774,            0.016244,           0.0020282,               0.672,             0.65365,             0.67797,             0.50288,            0.028242,            0.014625,            0.011221,            0.004456,            0.004456,            0.004456
                  58,            0.021474,            0.016255,           0.0019817,             0.78933,             0.58123,              0.6883,             0.50829,            0.027498,            0.014117,            0.010781,            0.004357,            0.004357,            0.004357
                  59,             0.02081,            0.016403,           0.0018048,             0.73154,             0.64773,             0.70622,             0.50511,            0.027904,            0.014254,            0.010189,            0.004258,            0.004258,            0.004258
                  60,            0.021276,            0.015787,           0.0018366,             0.67838,              0.7071,             0.70573,             0.49674,            0.028282,            0.014271,            0.010483,            0.004159,            0.004159,            0.004159
                  61,             0.02105,            0.015703,           0.0017558,             0.80793,             0.60665,             0.69407,              0.4861,            0.028969,            0.014652,            0.010562,             0.00406,             0.00406,             0.00406
                  62,            0.020651,            0.015477,           0.0019509,             0.65451,             0.64545,             0.67745,             0.49194,            0.028986,            0.014793,            0.010353,            0.003961,            0.003961,            0.003961
                  63,            0.020037,            0.015423,           0.0016096,             0.66307,             0.63663,             0.68432,              0.4816,            0.027922,            0.014413,            0.011207,            0.003862,            0.003862,            0.003862
                  64,            0.020022,            0.015913,           0.0017856,             0.80921,             0.58956,             0.71667,             0.52129,            0.028206,            0.014493,            0.011639,            0.003763,            0.003763,            0.003763
                  65,            0.020208,            0.015504,           0.0016075,             0.65861,              0.7384,             0.72929,             0.51486,            0.028425,            0.014225,            0.010955,            0.003664,            0.003664,            0.003664
                  66,            0.019771,            0.015392,           0.0016151,             0.72197,             0.69373,             0.71069,             0.51149,            0.028092,            0.014456,           0.0076916,            0.003565,            0.003565,            0.003565
                  67,            0.019211,            0.015094,           0.0013685,             0.70159,             0.67056,             0.72794,             0.53275,            0.028257,            0.014831,           0.0093324,            0.003466,            0.003466,            0.003466
                  68,            0.019231,            0.014659,            0.001436,             0.71196,             0.63094,             0.71267,             0.49414,            0.028474,             0.01428,           0.0097539,            0.003367,            0.003367,            0.003367
                  69,            0.019371,            0.014899,           0.0013549,             0.74932,             0.65344,             0.70586,             0.50664,            0.028725,             0.01516,           0.0096887,            0.003268,            0.003268,            0.003268
                  70,            0.019404,            0.015416,           0.0015163,             0.68248,             0.70134,              0.7268,             0.52853,            0.028409,            0.014397,           0.0092056,            0.003169,            0.003169,            0.003169
                  71,            0.019723,            0.015275,           0.0017715,             0.68857,             0.62586,             0.68601,             0.50028,            0.027819,            0.014685,            0.011174,             0.00307,             0.00307,             0.00307
                  72,            0.019297,            0.014521,           0.0015837,             0.75264,             0.62815,             0.71738,             0.51758,            0.027549,            0.014879,           0.0081744,            0.002971,            0.002971,            0.002971
                  73,            0.019188,            0.014838,            0.001546,              0.7646,             0.63423,              0.7195,             0.52859,            0.028063,            0.014854,           0.0073655,            0.002872,            0.002872,            0.002872
                  74,            0.019083,             0.01462,            0.001611,             0.71823,             0.61944,             0.67825,             0.50876,             0.02798,            0.014671,            0.010453,            0.002773,            0.002773,            0.002773
                  75,            0.019365,            0.014629,            0.001456,             0.82039,              0.6097,             0.70086,             0.51577,            0.027485,            0.014605,           0.0095961,            0.002674,            0.002674,            0.002674
                  76,            0.018878,            0.014913,           0.0014413,             0.73225,             0.64548,             0.69254,             0.51187,            0.027651,              0.0146,            0.010991,            0.002575,            0.002575,            0.002575
                  77,            0.018303,            0.014262,           0.0015358,             0.71695,             0.64017,             0.67818,             0.48461,            0.028119,             0.01516,            0.011229,            0.002476,            0.002476,            0.002476
                  78,            0.018244,             0.01377,            0.001327,             0.80189,             0.63531,             0.74607,             0.53381,            0.028248,            0.014638,            0.011162,            0.002377,            0.002377,            0.002377
                  79,            0.018447,            0.014028,           0.0012396,             0.67948,             0.72365,             0.73696,             0.52427,            0.028036,            0.014379,            0.011791,            0.002278,            0.002278,            0.002278
                  80,            0.017939,            0.014074,           0.0011506,             0.71977,             0.67412,              0.7182,             0.52222,             0.02776,            0.014878,            0.011173,            0.002179,            0.002179,            0.002179
                  81,            0.018119,            0.014084,           0.0010578,             0.68512,             0.68526,              0.7358,              0.5426,             0.02791,            0.014765,            0.011497,             0.00208,             0.00208,             0.00208
                  82,            0.017734,            0.014118,          0.00096575,             0.75725,             0.65415,             0.71251,             0.53174,            0.027279,            0.014701,            0.010446,            0.001981,            0.001981,            0.001981
                  83,             0.01789,            0.013827,           0.0009344,             0.76666,             0.66629,             0.72834,             0.53817,             0.02734,            0.014604,           0.0097361,            0.001882,            0.001882,            0.001882
                  84,             0.01757,            0.014037,           0.0011401,             0.82937,             0.61819,             0.73936,             0.53461,            0.027473,            0.014661,            0.011115,            0.001783,            0.001783,            0.001783
                  85,            0.017384,            0.013764,           0.0011994,             0.66818,             0.71172,             0.71516,             0.52803,            0.027577,             0.01443,            0.012109,            0.001684,            0.001684,            0.001684
                  86,            0.017553,            0.013786,           0.0010527,             0.69638,             0.66741,             0.68901,             0.52042,            0.027401,            0.014856,            0.012725,            0.001585,            0.001585,            0.001585
